Exigences Client,Réponse Ringover (Oui / Non / Partiel),Commentaire
1.1 FLOTTE MOBILE : 180 lignes eSIM à déployer + portabilité entrante des numéros depuis les opérateurs actuels.,Oui,Gestion standard des flottes eSIM et processus de portabilité industrielle chez Ringover.
1.2 COUVERTURE RÉSEAU : Réseau Orange obligatoire (natif ou MVNO exclusif) + possibilité de switcher vers un autre opérateur hors agence si couverture idéale.,Partiel,"L'offre ESIM s'appuie nativement sur Orange. En revanche, le basculement manuel et à la volée vers un opérateur concurrent (SFR/Bouygues) par l'utilisateur n'est pas supporté. Il est toutefois toujours possible de passer par l'application mobile, qui repose sur la connexion Internet et pas GSM, pour effectuer les appels. "
"1.3 USAGE : Appels, SMS/MMS illimités en France métropolitaine.",Oui,Inclus de base dans les forfaits de l'offre mobile.
1.4 DATA : 30 Go de Data par ligne pour 30 lignes actives (150 lignes sous contrat tiers exclues du plan data pour le moment).,Oui,Le forfait standard ESIM inclut généralement 20 Go. L'extension à 30 Go nécessite un ajustement commercial (Offre Enterprise). L'exclusion des 150 lignes tierces ne pose aucun problème.
1.5 ITINÉRANCE : Accès à une enveloppe de données mobiles sur les réseaux européens.,Non,L'itinérance des données est uniquement sur le territoire français
1.6 GESTION : Console d'administration permettant de rééditer les QR codes de manière autonome pour la réaffectation rapide des lignes (entrées/sorties).,Oui,L'administrateur dispose d'une autonomie totale sur le Dashboard pour générer et réémettre les QR codes des eSIM.
1.7 TECHNIQUE : Possibilité de passer et recevoir des flux d'appels/messages professionnels via l'application WhatsApp.,Partiel,"L'intégration native entre Ringover et WhatsApp Business permet effectivement d'effectuer des messages professionnels via WhatsApp, mais depuis même l'application Ringover, qui contient le connecteur WhatsApp. Aujourd'hui, l'intégration avec WhatsApp fonctionne uniquement par message, mais est amenée à se développer dans les prochains mois pour couvrir également la voix."
1.8 TECHNIQUE : Option Appels Wi-Fi disponible nativement sur iPhone.,Oui,Pris en charge nativement via le profil opérateur réseau (Orange) configuré sur l'eSIM.
"1.9 TECHNIQUE : Collecte des métriques d'appels (logs, durée) si le collaborateur appelle directement depuis le réseau GSM natif (hors app VoIP).",Oui,"Point fort de Ringover : Grâce à l'infrastructure Simless, les appels passés via le clavier natif du téléphone sont interceptés et consignés dans les statistiques."
2.1 SVI - ROUTAGE : Gestion de 36 numéros fictifs (agences) renvoyant automatiquement vers un numéro principal unique.,Oui,Configuration classique et native au sein du studio de création de SVI Ringover.
2.2 SVI - IDENTIFICATION (DNIS) : Capacité à identifier précisément quel numéro fictif a été composé à l'origine avant d'arriver sur le numéro principal.,Oui,"Le DNIS est géré par la plateforme, permettant d'afficher au conseiller l'agence ciblée par l'appelant."
2.3 SVI - FILES D'ATTENTE : Priorisation dynamique des appels entrants via un numéro d'ordre de 1 à 4.,Oui,Les fonctionnalités de l'ACD (file d'attente) permettent d'ajuster les priorités des flux d'appels entrants.
2.4 SVI - REDIRECTION : Configuration de scénarios de renvoi immédiat vers un numéro tiers ou boîte vocale dédiée.,Oui,Entièrement configurable via l'arborescence graphique du SVI.
"2.5 SVI - SUPERVISION : Interface superviseur pour visualiser instantanément le statut des conseillers (en ligne, en communication, disponible).",Oui,Le Dashboard Superviseur offre une vue temps réel complète de l'état des équipes.
2.6 SVI - CTI : Remontée de fiche contact automatique si le numéro est détecté et présent dans la base de données.,Oui,Le bandeau CTI Ringover déclenche automatiquement l'ouverture de la fiche client correspondante.
3.1 CRM - ATTRIBUTION : Ligne mobile par utilisateur pour un besoin de 200 utilisateurs.,Oui,Déploiement et attribution de licences nominatives standards.
3.2 CRM - MULTI-LIGNES : Possibilité de fournir une autre ligne mobile à tout ou partie des collaborateurs.,Oui,Un utilisateur peut se voir attribuer plusieurs numéros associés à son profil.
3.3 CRM - LIGNE FIXE : Possibilité de fournir une ligne fixe dédiée à chaque collaborateur.,Oui,Parfaitement géré (attribution d'un numéro géographique ou non géographique par agent).
"3.4 CRM - CLICK-TO-CALL : Déclenchement d'un appel sortant en un clic depuis l'interface Salesforce, sans composition manuelle.",Oui,Fonctionnalité native via l'intégration du Softphone Ringover dans la barre d'outils Salesforce.
3.5 CRM - SYNC REPERTOIRE : Pas de synchronisation automatique par défaut des contacts CRM dans le répertoire local/privé du téléphone.,Oui,L'application Ringover sépare de manière étanche les contacts d'entreprise et le répertoire personnel.
3.6 CRM - LOGS OPPORTUNITÉ : Consigner automatiquement le journal des appels (entrants/sortants) directement sur l'objet personnalisé 'Opportunité de Médicis' dans Salesforce.,Partiel,"Ringover logue par défaut sur les objets standards (Pistes, Contacts, Comptes, Opportunités). Pour cibler un objet Custom spécifique (Médicis), il faudra configurer un Flow dans Salesforce."
3.7 CRM - SMS OPPORTUNITÉ : Traçage et rattachement automatique des SMS envoyés depuis le terminal mobile vers l'Opportunité correspondante dans Salesforce.,Oui,"Les SMS sont bien historisés dans Salesforce. Cependant, pour qu'ils se rattachent à la bonne opportunité, le numéro doit être relié à un contact lui-même associé à cette opportunité."
"4.1 ANALYTICS - HORODATAGE : Date, heure précise et durée de chaque appel consigné sur l'objet personnalisé de chaque opportunité.",Oui,"Les données sont extraites nativement par Ringover, mais leur intégration sur l'objet Custom dépend de la configuration Salesforce mentionnée au point 3.6."
4.2 ANALYTICS - SUIVI LEADS : Mesure de la récurrence des appels pour un même prospect consigné sur l'objet personnalisé de chaque opportunité.,Oui,"Chaque appel effectué vers un prospect sera historisé sur la fiche Salesforce, ce qui permet d'avoir une vue complète de l'entièreté des échanges envers chaque prospect."
4.3 ANALYTICS - AMD : Mécanisme de détection de répondeur (AMD) capable de différencier un humain d'une boîte vocale.,Oui,"Option disponible, notamment pour optimiser les campagnes d'appels sortants."
4.4 ANALYTICS - HEATMAP : Restitution visuelle des pics d'appels entrants/sortants par tranches horaires et par jour.,Oui,Graphiques d'analyse de charge disponibles nativement dans l'onglet Statistiques du Dashboard Ringover.
"5.1 IA & ECOUTE - DÉSACTIVATION : Non-activation des options de transcription par IA, d'enregistrement, et d'écoute discrète en direct (tout en restant disponibles techniquement).",Oui,L'administrateur de la plateforme a la main pour désactiver complètement ces fonctionnalités dans les paramètres.
5.2 IA & ECOUTE - CONTRAT : Garantie contractuelle que l'option d'enregistrement ne figure pas comme disponible/accessible. Certitude absolue qu'aucune fonction n'est provisionnée ou activable par erreur.,Oui,Pablo CAPONE
